Name,Ticker,Earth Pillar,Twitter handle,Twitter Id
FIRSTENERGY CORP,FE,45.21%,FirstEnergyCorp,59839012
FIRST REPUBLIC BANK,FRC,3.02%,FirstRepublic,34715589
FISERV,FISV,0.80%,fiserv,18506925
FIDELITY NATIONAL INFORMATION SERVICES,FIS,49.76%,FISGlobal,80619946
FLEETCOR TECHNOLOGIES,FLT,2.28%,Fleetcor,1.22213E+18
FREEPORT-MCMORAN,FCX,48.74%,FM_FCX,298036114
FMC CORP,FMC,54.82%,FMCCorp,733462130
FORD MOTOR CO,F,63.63%,Ford,15676492
FORTINET,FTNT,3.66%,Fortinet,13967482
FORTIVE CORP,FTV,44.08%,FortiveCorp,7.59119E+17
FOX CORP,FOXA,3.42%,Foxcorp,1.24285E+18
FRANKLIN RESOURCES,BEN,28.03%,FTI_US,337853585
ARTHUR J GALLAGHER & CO,AJG,30.10%,GallagherGlobal,123675833
GARMIN LTD,GRMN,10.22%,Garmin,15324722
GARTNER,IT,54.89%,Gartner_Inc,15231287
GENERAC HOLDINGS,GNRC,1.24%,Generac,91196880
GENERAL DYNAMICS CORP,GD,31.20%,GeneralDynamics,1.06783E+18
GENERAL ELECTRIC CO,GE,56.19%,generalelectric,267399199
GENERAL MILLS,GIS,59.73%,generalmills,280557152
GENUINE PARTS CO,GPC,51.75%,GenuinePartsCo,1.09245E+18
GILEAD SCIENCES,GILD,24.73%,GileadSciences,309728693
GLOBAL PAYMENTS,GPN,54.39%,GlobalPayInc,478912243
GLOBE LIFE,GL,4.08%,GlobeLife,58502355
GENERAL MOTORS CO,GM,60.39%,GM,10850192
GOLDMAN SACHS GROUP,GS,81.90%,GoldmanSachs,253167239
W W GRAINGER,GWW,54.09%,grainger,155541003
HALLIBURTON CO,HAL,42.17%,halliburton,288290125
HASBRO,HAS,76.44%,Hasbro,78482616
HCA HEALTHCARE,HCA,4.32%,hcahealthcare,64481865
AMERISOURCEBERGEN CORP,ABC,71.19%,Healthcare_ABC,288863891
HENRY SCHEIN,HSIC,40.00%,HenrySchein,17610945
HERSHEY CO,HSY,62.07%,Hersheys,300878069
HESS CORP,HES,41.98%,HessCorporation,44996346
HILTON WORLDWIDE HOLDINGS,HLT,31.13%,HiltonHotels,64510593
HOLOGIC,HOLX,51.65%,Hologic,30007936
HOME DEPOT,HD,55.44%,HomeDepot,14791918
HONEYWELL INTERNATIONAL,HON,43.25%,HoneywellNow,257492733
HORMEL FOODS CORP,HRL,50.06%,HormelFoods,12494562
HOST HOTELS & RESORTS,HST,40.08%,HostHotelsInc,9.73896E+17
HOWMET AEROSPACE,HWM,42.21%,HowmetAerospace,1.14678E+18
HEWLETT PACKARD ENTERPRISE CO,HPE,62.23%,HPNews,4066432336
HP,HPQ,76.18%,HPNews,4066432336
HUMANA,HUM,72.03%,humana,24160942
HUNTINGTON BANCSHARES,HBAN,50.56%,Huntington_Bank,78067917
INTERNATIONAL BUSINESS MACHINES CORP,IBM,72.40%,IBM,18994444
INTERCONTINENTAL EXCHANGE,ICE,29.79%,ICE_Markets,25570548
IDEX CORP,IEX,52.40%,IDEXCorp,1.13599E+18
IDEXX LABORATORIES,IDXX,48.74%,Idexx,33547339
INTERNATIONAL FLAVORS & FRAGRANCES,IFF,57.73%,IFF,2548353648
ILLUMINA,ILMN,56.06%,Illumina,46145761
INCYTE CORP,INCY,29.76%,Incyte,3911174913
INTEL CORP,INTC,65.90%,intel,2803191
CLOROX CO,CLX,43.99%,intent,
INTERPUBLIC GROUP OF COMPANIES,IPG,54.72%,InterpublicIPG,378077984
INTERNATIONAL PAPER CO,IP,28.74%,IntlPaperCo,1454477221
INTUIT,INTU,15.63%,Intuit,1125071
INTUITIVE SURGICAL,ISRG,6.32%,IntuitiveSurg,602132594
INVESCO LTD,IVZ,65.04%,InvescoLtd,436817099
IPG PHOTONICS CORP,IPGP,39.56%,IPGPhotonics,8.93144E+17
IQVIA HOLDINGS,IQV,27.65%,IQVIA_US,3236469275
